"","Place","Name","Time","School","Class"
"1",1,"Mikah Peters","13:09.98","Brandon Valley","M"
"2",2,"Evan Mahrous","13:35.97","O'Gorman","M"
"3",3,"Jack Castelli","13:49.92","O'Gorman","M"
"4",4,"Paul Kern","13:54.13","Brandon Valley","M"
"5",5,"Ty Sullivan","13:59.87","Watertown","M"
"6",6,"Griffin Smith","14:00.31","Harrisburg","M"
"7",7,"Abe (Abram) Chance","14:07.15","Yankton","M"
"8",8,"Eli Woidyla","14:07.40","Brandon Valley","M"
"9",9,"Camden Coughlin","14:10.11","Brandon Valley","M"
"10",10,"Dominic Ripperda","14:17.03","O'Gorman","M"
"11",11,"Harrison Krajewski","14:17.83","Yankton","M"
"12",12,"Dane Stark","14:18.16","Watertown","M"
"13",13,"Asher Selness","14:41.24","Brandon Valley","M"
"14",14,"Easton Klatt","14:52.86","Harrisburg","M"
"15",15,"Tucker Lunde","14:54.45","Watertown","M"
"16",16,"Bryton Olson","15:06.57","Yankton","M"
"17",17,"Evan Miller","15:15.35","Harrisburg","M"
"18",18,"Bergen Irey","15:18.04","Brandon Valley","M"
"19",19,"Logan Brakke","15:18.52","Brandon Valley","M"
"20",20,"Logan Brendsel","15:23.86","Brandon Valley","M"
"21",21,"Ben Peterson","15:34.45","Watertown","M"
"22",22,"Lance Bodeen","15:35.87","Harrisburg","M"
"23",23,"Bayley Steiner","15:53.25","Watertown","M"
"24",24,"Greyson Cauwels","16:03.60","Harrisburg","M"
"25",25,"Gabe List","16:05.90","Watertown","M"
"26",26,"Ryley McKeown","16:07.21","Brandon Valley","M"
"27",27,"James Heinz","16:07.70","Harrisburg","M"
"28",28,"Brooks Ordway","16:10.44","Harrisburg","M"
"29",29,"Isaac Petersen","16:21.23","Yankton","M"
"30",30,"Logan Becker","16:26.77","Watertown","M"
"31",31,"Chris Bevers","16:34.14","Watertown","M"
"32",32,"Ayden Steiner","16:51.25","Watertown","M"
"33",33,"Colton Padgett","18:01.75","Brandon Valley","M"
