,Place,Name,Time,School,Class
1,1,Kaleb Foltz,17:33.3,Tri-State,M
2,2,Milo Sumption,18:42.3,Frederick Area,M
3,3,Xavier Kadlec,19:12.4,Ipswich,M
4,4,Cooper Pommer,19:15.2,Clark/Willow Lake,M
5,5,Kalen Godel,19:37.1,Langford Area,M
6,6,Jayven Maag,19:38.4,Waubay/Summit,M
7,7,Winston Clark,19:39.4,Frederick Area,M
8,8,Damian Severson,19:41.9,Clark/Willow Lake,M
9,9,Howard Sumption,19:42.6,Frederick Area,M
10,10,Caden Hourigan,19:44.9,Deuel,M
11,11,Austin Jenkins,19:49.3,Leola,M
12,12,Beckham Cantalope,19:54.8,Warner,M
13,13,Tyson Hagberg,20:06.5,Deuel,M
14,14,Tacey Miller,20:16.6,Webster Area,M
15,15,Ryder Graff,20:18.3,Sisseton,M
16,16,Mason Kaiser,20:20.3,Faulkton Area,M
17,17,Josiah Wiebe,20:24.6,Hitchcock-Tulare,M
18,18,Titus Kippley,20:29.3,Frederick Area,M
19,19,Ricky Larson,20:29.9,Northwestern,M
20,20,Carson Vavruska,20:43.4,Florence/Henry,M
21,21,Taylor Merkel,20:44.0,Clark/Willow Lake,M
22,22,Joel Olson,20:52.9,James Valley,M
23,23,Will Clemens,21:02.8,Northwestern,M
24,24,Caleb Ronne,21:07.1,Deuel,M
25,25,Korbin Stark,21:11.0,Faulkton Area,M
26,26,Logan Niederbaumer,21:17.5,Faulkton Area,M
27,27,Amsden Piotter,21:33.7,Tri-State,M
28,28,Kadin Raguse,21:36.9,Tri-State,M
29,29,Gavin Mattson,21:45.2,Deuel,M
30,30,Isaac VanScharrel,21:49.5,Hitchcock-Tulare,M
31,31,Blaise Frolek,21:57.2,Sargent Cent,M
32,32,Gavin Kroll,21:58.2,Groton Area,M
33,33,Keondray White,22:05.9,Sisseton,M
34,34,Daniel Gums,22:06.6,Deuel,M
35,35,Noah Kippley,22:20.5,Frederick Area,M
36,36,Dominic Kluckman,22:29.0,Deuel,M
37,37,Jayden Schwan,22:35.9,Groton Area,M
38,38,Rylan Evenson,22:44.8,Warner,M
39,39,Jace Bender,22:54.4,Leola,M
40,40,Grant Anderson,23:09.0,Leola,M
41,41,Grady Wagner,23:11.9,Webster Area,M
42,42,Logan Seefeldt,23:12.4,Clark/Willow Lake,M
43,43,Oliver Reitz,23:30.7,Clark/Willow Lake,M
44,44,Paxton Johnson,23:31.7,Warner,M
45,45,Cole Noon,23:44.4,Faulkton Area,M
46,46,Waylan Olson,23:49.3,Clark/Willow Lake,M
47,47,Nolan Thuringer,24:19.0,Waubay/Summit,M
48,48,Nathan Unzen,24:23.3,Groton Area,M
49,49,Tate Bray,24:43.5,Faulkton Area,M
50,50,Jaxon Nimmer,24:45.3,Webster Area,M
51,51,Blaise McGregor,24:57.7,Webster Area,M
52,52,Brennen Wolff,25:18.3,Sargent Cent,M
53,53,Bo Brandriet,26:05.8,Florence/Henry,M
54,54,Reese Ziegler,26:14.8,Tiospa Zina,M
55,55,Garrett Schultz,26:38.3,Groton Area,M
