,Place,Name,Time,School,Class
1,1,Evan Bartelt,18:01.32,Ethan/Parkston,M
2,2,Joseph Laprath,18:37.38,Winner,M
3,3,Finn Adams,18:50.81,Gregory,M
4,4,Walter Graesser,18:54.53,Platte-Geddes,M
5,5,Hudson Schmidt,19:21.00,Mount Vernon/Plankinton,M
6,6,Luke Barreto,19:22.94,Gregory,M
7,7,Karter Weber,19:25.17,Mount Vernon/Plankinton,M
8,8,Trysten Eide,19:29.04,Mount Vernon/Plankinton,M
9,9,Gage Hohn,19:53.16,Ethan/Parkston,M
10,10,Benjamin Gerlach,19:53.89,Ethan/Parkston,M
11,11,Carson Vanden Berge,20:24.29,Platte-Geddes,M
12,12,Sam Byers,20:33.42,Chamberlain,M
13,13,Mark Deckert,20:47.99,Ethan/Parkston,M
14,14,Jayden Digmann,20:53.67,Ethan/Parkston,M
15,15,Hunter Dean,20:54.78,Ethan/Parkston,M
16,16,William Hanzlik,21:16.60,Chamberlain,M
17,17,Ryler Stevicks,21:19.97,Gregory,M
18,18,Pierce Stukel,21:26.01,Gregory,M
19,19,Aadyn Hosek,21:42.97,Chamberlain,M
20,20,Caleb Zephier,21:55.92,Wagner,M
21,21,Jackson Rolston,22:16.59,Wagner,M
22,22,Matthew Calhoon,22:39.90,Winner,M
23,23,Vincent Bechen,22:46.87,Wagner,M
24,24,Izaak Koenig,22:48.20,Burke,M
25,25,Jackson Bolander,22:50.56,Gregory,M
26,26,Jason Weston,22:54.18,Wagner,M
27,27,Brodie Smith,22:57.96,Mount Vernon/Plankinton,M
28,28,Ziggy Duffy,25:06.11,Platte-Geddes,M
29,29,Ezekiel Koenig,25:35.19,Burke,M
30,30,Braxton Breukelman,26:12.83,Platte-Geddes,M
31,31,Owen Bekanich,26:21.17,Wagner,M
