"","Place","Name","Time","School","Class"
"1",1,"Rachel Erk","21:53.82","Newell","F"
"2",2,"BreAna Aske","22:14.63","Jones County","F"
"3",3,"Eirelyn Bender","23:04.98","Newell","F"
"4",4,"Madilyn Wulf","23:09.13","New Underwood","F"
"5",5,"Aubrey Tucker","23:20.64","Jones County","F"
"6",6,"Taylee Dartt","23:30.57","Wall","F"
"7",7,"Bethany Mahaffy","23:55.52","Newell","F"
"8",8,"Addison Kierl","24:38.98","Jones County","F"
"9",9,"Natalie Yates","25:36.16","Newell","F"
"10",10,"Rosa Ainslie","25:52.70","Bennett County","F"
"11",11,"Terryn Shearer","26:10.53","Wall","F"
"12",12,"Sophie Dowling","26:20.49","Jones County","F"
"13",13,"Callie Casjens","26:40.74","Wall","F"
"14",14,"Jackie Heisler","28:14.00","Edgemont","F"
