,Place,Name,Time,School,Class
1,1,Keelin Dinkins,20:10.23,Sturgis Brown,F
2,2,Paige Willnerd,20:16.10,Sturgis Brown,F
3,3,Lucy Hamer,20:26.60,Sturgis Brown,F
4,4,Macie Erwin,20:31.43,Rapid City Stevens,F
5,5,Charlee Bierle,20:32.62,Sturgis Brown,F
6,6,Emilie Reedy,20:34.85,Sturgis Brown,F
7,7,Whitli Adams,20:39.30,Rapid City Stevens,F
8,8,TyLee Tetrault,20:57.33,Spearfish,F
9,9,Iris Zylstra,21:01.93,Sturgis Brown,F
10,10,Abi Kroetch,21:02.30,Sturgis Brown,F
11,11,Emerson Buchholz,21:19.38,Rapid City Stevens,F
12,12,Fallon Dinkins,21:45.93,Sturgis Brown,F
13,13,Adison Armstrong,22:04.79,Rapid City Stevens,F
14,14,Adelaide Kleinschmidt,22:18.19,Rapid City Stevens,F
15,15,Lily Knopp,22:40.98,Rapid City Central,F
16,16,Millie Patterson,22:53.38,Rapid City Central,F
17,17,Eden Otten,23:07.02,Rapid City Stevens,F
18,18,April Shott,23:29.25,Rapid City Central,F
19,19,Kayla Harris,23:36.70,Rapid City Stevens,F
20,20,Abigail Eisenbraun,23:45.35,Rapid City Stevens,F
21,21,Savannah Hadorn,23:48.60,Rapid City Central,F
22,22,Aubrey Hadorn,23:49.49,Rapid City Central,F
23,23,Miya Muellenberg,24:04.00,Rapid City Central,F
24,24,Jey Rios,24:19.01,Douglas,F
25,25,Olivia Boerger,24:19.95,Rapid City Stevens,F
26,26,Josie Reedy,24:27.99,Sturgis Brown,F
27,27,Jayda Westling,24:47.25,Rapid City Central,F
28,28,Jade Mueller,24:57.69,Sturgis Brown,F
29,29,Brooklyn Baird,24:58.15,Sturgis Brown,F
30,30,Trinity Limpy,25:15.39,Sturgis Brown,F
31,31,Bella Speidel,25:22.50,Rapid City Stevens,F
32,32,Kamryn Shull,25:58.58,Rapid City Central,F
33,33,Lana Tilus,26:38.51,Rapid City Central,F
34,34,Hayden Swanson,26:38.96,Rapid City Central,F
35,35,Natalee Bruner,27:11.83,Spearfish,F
36,36,Ella Urdiales,28:22.62,Spearfish,F
