"Place","Name","School","Time","Grade"
1,"Levi Vander Leest","Sioux Falls Christian","16:06.3","12"
2,"Gage Beverly","Vermillion","16:16.4","11"
3,"Sawyer Pettengill","Sioux Falls Christian","16:22.4","8"
4,"Michael Matherly","Sioux Falls Christian","16:35.2","10"
5,"Kaden Ober","James Valley Christian","16:37.1","11"
6,"Oscar Edelen","Vermillion","16:45.2","10"
7,"Wesley Lyon","Sioux Falls Christian","16:49.2","11"
8,"Landon Strasser","Lennox","16:52.8","10"
9,"Jamison Gould","Dakota Valley","16:55.3","11"
10,"Sam VanRaalte","Sioux Falls Christian","16:59.6","11"
11,"Reid Hammerquist","Tea Area","17:00.4","12"
12,"Marcus Papik","Luverne","17:10.3","12"
13,"Carter Siemonsma","Garretson","17:20.2","12"
14,"Jack LaFerrier","Elk Point-Jefferson","17:22.9","10"
15,"Isaak Booker","Lennox","17:26.7","11"
16,"Noah Baumbach","Sioux Falls Lutheran","17:27.3","10"
17,"Josh Merriman","Beresford","17:34.8","9"
18,"Max McDonald","Sioux Falls Christian","17:40.0","11"
19,"Ben Quail","Vermillion","17:41.7","11"
20,"Keaton Fopma","Sioux Falls Christian","17:50.2","10"
21,"Reece Christian","Tea Area","17:53.8","10"
22,"Beckett Fennel","Elk Point-Jefferson","17:54.1","11"
23,"Levi Crandall","James Valley Christian","17:55.9","10"
24,"Andrew Koole","Sioux Falls Christian","17:56.3","10"
25,"Lane McCune","Freeman","18:05.4","11"
26,"Leo Aesoph","Lennox","18:06.7","11"
27,"Camden Tebay","Dell Rapids","18:11.4","11"
28,"Eli Smith","Sioux Falls Christian","18:12.4","10"
29,"Sean May","Vermillion","18:14.4","12"
30,"Collin Randall","Freeman","18:14.9","9"
31,"Kaden Christian","Tea Area","18:17.9","12"
32,"Ethan McGregor","Garretson","18:19.4","12"
33,"Zane Ensz","Dakota Valley","18:24.9","8"
34,"Declan Huber","Dakota Valley","18:26.1","9"
35,"Jonah Klemisch","Tea Area","18:32.0","12"
36,"Rance Kuhlman","Avon","18:33.5","12"
37,"Isaac Haich","Irene-Wakonda","18:43.5","11"
38,"Henry Huether","Beresford","18:43.8","11"
39,"Jeremy Bockelman","Canton","18:45.9","10"
40,"Jaxon Vande Vegte","Elk Point-Jefferson","18:49.9","11"
41,"Grant Curtis","Tea Area","18:51.4","10"
42,"Collin Goosmann","Dakota Valley","18:58.3","9"
43,"Alex Opland","Canton","19:01.0","12"
44,"Tate VanLaecken","Tea Area","19:05.6","12"
45,"Malachi Kaiser","Tea Area","19:07.3","12"
46,"Josiah Newell","Sioux Falls Lutheran","19:10.9","9"
47,"Noah Halvorson","Beresford","19:11.4","11"
48,"Oliver Merriman","Beresford","19:14.5","11"
49,"Cale Cooper","Avon","19:15.1","12"
50,"Bennett Farley","Beresford","19:15.8","11"
51,"Nolan Katzer","Dell Rapids","19:16.3","9"
52,"Luke Miller","Freeman","19:25.5","11"
53,"Ryan Bryson","Canton","19:26.7","10"
54,"Jasher Dixon","Canton","19:30.2","11"
55,"Brock Koth","Beresford","19:32.4","12"
56,"Aleeus Wall","Parker/Marion","19:35.5","11"
57,"Nolan Carstensen","Dell Rapids","19:41.4","9"
58,"Giddeon Waldner","James Valley Christian","19:50.8","11"
59,"Cooper Smith","Garretson","19:56.5","11"
60,"Gunner Fowler","Dakota Valley","19:57.5","10"
61,"Charlie Person","Dell Rapids","20:08.9","10"
62,"Miles Sievers","Garretson","20:10.3","10"
63,"Isaiah Sayler","Lennox","20:12.3","12"
64,"Jonathon Gould","Dakota Valley","20:12.8","9"
65,"Titus Weeman","Sioux Falls Lutheran","20:25.5","9"
66,"Dane Roberts","Vermillion","20:34.1","9"
67,"Jaxon Johanneson","Tea Area","20:39.3","12"
68,"Gavin Ma","Vermillion","20:41.7","12"
69,"Noah Korver","Tea Area","20:46.1","12"
70,"Josh Oleson","Freeman","20:49.1","10"
71,"Jackson Schmidt","Lennox","20:51.2","11"
72,"Alex Heinemann","Dell Rapids","21:04.8","12"
73,"Korbin Jensen","Freeman","21:11.1","9"
74,"Brecken Jorgensen","Sioux Falls Lutheran","21:12.9","11"
75,"Elijah Schaap","Beresford","21:16.2","12"
76,"Charley Bittner","Lennox","21:20.4","10"
77,"Shayden Smith","McCrossan","21:22.3","10"
78,"Michael Hanisch","Garretson","21:25.0","12"
79,"Shea Smidt","Garretson","21:28.1","11"
80,"Carter Muller","Centerville","21:30.8","9"
81,"Cade Aasheim","Lennox","21:52.4","12"
82,"Elijah Iverson","Sioux Falls Lutheran","21:56.9","10"
83,"Noah Buhian","Elk Point-Jefferson","21:57.0","12"
84,"Cedric Horst","Canton","22:01.4","12"
85,"Adam Heumiller","McCook Central/Montrose","22:44.2","11"
86,"Mason Jolley","Avon","23:31.7","12"
87,"Elijah Stake","Centerville","24:19.2","9"
88,"Liam Masters","Parker/Marion","24:42.7","9"
