official_meet_name,meet,date,week,flg_5k,missing,alternative,alternative_boys,alternative_girls
Beresford XC Invite,beresford,2026-08-27,1,1,1,0,,
Black Hills Preview Cross Country Meet,black_hills_preview,2026-08-27,1,,1,0,,
John Collignon Invitational,madison,2026-08-27,1,1,1,0,,
Milbank Breathe Easy,milbank_be,2026-08-27,1,0,1,0,,
Mitchell Kernel Invite,mitchell,2026-08-27,1,1,1,0,,
North Central Invitational,bowdle,2026-08-27,1,0,1,0,,
O'Gorman XC Invite,ogorman,2026-08-27,1,0,1,0,,
2026 Sioux Park Twilight,sioux_park,2026-08-28,1,,1,0,,
Douglas Early Bird Cross Country Meet,douglas,2026-08-28,1,1,1,0,,
Pierre XC Invite,pierre,2026-08-28,1,0,1,0,,
Winner Invitational,winner,2026-08-28,1,1,1,0,,
Mack Butler XC Invite,mackbutler,2026-08-29,1,1,1,0,,
Mobridge-Pollock Invite,mobridge,2026-08-31,1,,1,0,,
Dakota Valley XC Invite,dakota_valley,2026-09-01,1,1,1,0,,
Gregory XC Meet,gregory,2026-09-01,1,1,1,0,,
McCook Central/Montrose XC Invite,mccook,2026-09-01,1,1,1,0,,
Redhawks Invite,hendricks,2026-09-01,1,1,1,0,,
Aberdeen MS Invite,aberdeen_ms,2026-09-03,1,,1,0,,
Redfield Pheasant Invite,redfield,2026-09-03,1,1,1,0,,
Augustana Twilight XC Meet,augie,2026-09-04,1,1,1,0,,
Don Ray Invitational at Deubrook,deubrook,2026-09-04,1,1,1,0,,
Faith Marlene Gustafson/Ryan Day Memorial Cross Country Meet,faith,2026-09-04,1,1,1,0,,
Mahpiya Luta Owayawa Invitational Cross Country Meet,redcloud,2026-09-04,1,1,1,0,,
Northern Hills Invitational Cross Country Meet,spearfish,2026-09-04,1,1,1,0,,
Belle Fourche Invitational Cross Country Meet,belle,2026-09-08,2,1,1,0,,
Britton-Hecla Invitational,britton,2026-09-08,2,1,1,0,,
Canton XC Invite,canton,2026-09-08,2,1,1,0,,
Jesse James XC Invite,garretson,2026-09-08,2,1,1,0,,
Scotland Invitational,scotland,2026-09-08,2,1,1,0,,
Bennett County Invitational Cross Country Meet,bennett_county,2026-09-09,2,1,1,0,,
Hoven Greyhound Invitational,hoven,2026-09-09,2,1,1,0,,
Parker/Marion XC Meet,parker,2026-09-09,2,,1,0,,
DeSmet Invite,desmet,2026-09-10,2,1,1,0,,
Eastern Coteau Conference (ECC),ecc,2026-09-10,2,1,1,0,,
Sahli/Salmi Invitational,aberdeen,2026-09-10,2,1,1,0,,
Brandon XC Invite,brandon,2026-09-12,2,1,1,0,,
Ipswich XC Meet,ipswich,2026-09-12,2,1,1,0,,
Nike Heartland Preview,heartland_preview,2026-09-12,2,1,1,0,,
