"Place","Name","School","Time","Grade"
1,"Ellie Maddox","Sioux Falls Christian","17:44.51","12"
2,"Sadie Pettengill","Sioux Falls Christian","18:31.74","10"
3,"Jerica Glasser","Sioux Falls Christian","18:42.66","12"
4,"Natalie Smith","Sioux Falls Christian","18:51.58","12"
5,"Alex McCullough","Dakota Valley","19:12.42","10"
6,"Rorie Thoreson","Dell Rapids","19:17.47","10"
7,"Brooklyn Sundermann","West Central","19:26.68","9"
8,"Callie Radigan","Vermillion","19:29.35","12"
9,"Bailey VanderGriend","Sioux Falls Christian","19:29.71","12"
10,"Maxine Ordway","Sioux Falls Christian","19:44.60","8"
11,"Sarah Johnson","West Central","19:54.52","10"
12,"Adie McVey","Lennox","20:06.65","9"
13,"Eleanor Anderson","Vermillion","20:12.30","9"
14,"Elia Peterson","Sioux Falls Christian","20:14.00","7"
15,"Bryn Barker","Sioux Falls Christian","20:45.36","9"
16,"Finley Evjen","Canton","20:57.57","9"
17,"Sadie Wuebben","West Central","21:04.40","7"
18,"Kamille Schmidt","Lennox","21:07.71","9"
19,"Ella Coomes","Madison","21:12.06","8"
20,"Sophia Johnson","Lennox","21:20.62","8"
21,"Ava Sletten","Canton","21:34.43","10"
22,"Lucy Carlson","Lennox","21:35.99","9"
23,"Jewel Gannon","Canton","21:58.26","12"
24,"Lucy Rozeboom","West Central","22:09.36","10"
25,"Beatriz Hernandez-Lucas","Vermillion","22:16.24","8"
26,"Sofia Hanson","Elk Point-Jefferson","22:27.49","9"
27,"Aubrey Borns","West Central","22:36.57","12"
28,"Lydia Anderson","Vermillion","22:37.39","12"
29,"Addison Jaspers","West Central","22:41.08","9"
30,"Madyn Lacey","Dell Rapids","22:41.76","12"
31,"Maisey Knudson","Canton","22:42.14","7"
32,"Miriam Meyer","Madison","22:44.60","8"
33,"Carson Severson","Vermillion","22:44.76","9"
34,"Kaitlyn Daschel","Dakota Valley","22:52.34","8"
35,"Pria Martinell","Tri-Valley","22:55.48","8"
36,"Ella Greene","Dakota Valley","22:58.63","8"
37,"Avery Quam","Madison","23:22.66","8"
38,"Kelsey Sundermann","West Central","23:25.06","7"
39,"Jaycie Rush","Dakota Valley","23:28.25","11"
40,"Kensi Holland","Lennox","23:45.06","8"
41,"Liz Vogel","Dell Rapids","23:48.47","10"
42,"Addy Witte","Dell Rapids","23:56.35","10"
43,"Tyler Gibson","Tri-Valley","24:13.34","10"
44,"Calista Sahr","Madison","24:25.58","11"
45,"Molly Engebretson","Madison","24:26.13","12"
46,"Callie Bourne","Dakota Valley","24:31.30","9"
47,"Abby Dose","Canton","24:32.57","12"
48,"Harper Gibson","Tri-Valley","24:34.73","7"
49,"Mia Riibe","Dakota Valley","25:03.02","12"
50,"Lou Schladweiler","Madison","25:51.24","10"
51,"Samantha Troxell","Madison","25:53.48","12"
52,"Kaydence Gerry","Lennox","26:02.34","10"
53,"Anna Alvey","Tri-Valley","26:03.34","12"
54,"Cordelia Adams","Canton","26:21.06","12"
55,"Lily Schlueter","Tri-Valley","26:33.15","10"
56,"Kara Dose","Canton","26:46.61","10"
57,"Devrah Meyer","Madison","26:59.65","12"
58,"Kaidence Rude","Tri-Valley","27:40.27","10"
59,"Clair Baumann","Canton","28:10.35","10"
